method,trial,success,good_grasp,closed,errored,final_err_mm,post_grasp_err_mm,lift_dz_m,dur_s,max_disp_mm,path_len_mm,mean_speed_mms,rms_radial_mm,sway_area_mm2,rms_long_mm,rms_lat_mm,ellipse_ratio,yaw_rms_deg,yaw_range_deg,z_rms_mm,mpf_hz
centroid_vs,17,1,1,0,0,,1.8,0.0608,350.5,20.5,169.8,0.48,13.5,1033.8,9.55,9.55,0.33,2.76,7.03,3.53,0.023
centroid_vs,18,1,1,0,0,,3.0,0.0603,354.2,21.0,182.2,0.51,13.64,1058.9,9.63,9.65,0.34,2.87,7.31,3.5,0.021
centroid_vs,19,1,1,0,0,,2.5,0.0616,352.7,20.4,187.7,0.53,13.68,1053.2,9.67,9.68,0.33,2.76,6.99,3.55,0.023
centroid_vs,20,1,1,0,0,,2.4,0.0612,350.4,20.5,166.2,0.47,13.68,1054.6,9.68,9.66,0.33,2.79,7.13,3.54,0.022
centroid_vs,21,1,1,0,0,,2.4,0.0617,350.0,20.7,170.6,0.49,13.64,1038.6,9.64,9.65,0.33,2.77,7.06,3.55,0.023
centroid_vs,22,1,1,0,0,,2.7,0.0609,348.9,21.0,171.6,0.49,13.72,1064.2,9.68,9.72,0.33,2.83,7.17,3.53,0.021
centroid_vs,23,1,1,0,0,,3.4,0.0615,350.1,20.7,178.3,0.51,13.78,1078.1,9.67,9.81,0.34,2.88,7.3,3.51,0.02
centroid_vs,24,1,1,0,0,,2.2,0.0611,344.6,20.7,178.3,0.52,13.7,1059.9,9.67,9.7,0.33,2.89,7.34,3.52,0.02
centroid_vs,25,1,1,0,0,,1.9,0.0605,351.1,20.8,167.0,0.48,13.61,1050.0,9.63,9.61,0.33,2.75,7.0,3.54,0.022
centroid_vs,26,1,1,0,0,,2.4,0.0609,352.6,20.3,172.0,0.49,13.64,1060.9,9.64,9.65,0.34,2.89,7.31,3.5,0.022
centroid_vs,27,1,1,0,0,,2.7,0.0614,349.6,20.6,168.5,0.48,13.5,1038.0,9.55,9.54,0.34,2.75,7.01,3.55,0.022
centroid_vs,28,1,1,0,0,,2.6,0.0615,350.1,20.5,165.7,0.47,13.54,1032.2,9.57,9.58,0.33,2.74,6.99,3.54,0.023
centroid_vs,29,1,1,0,0,,1.8,0.0611,350.4,20.9,169.2,0.48,13.56,1044.0,9.56,9.62,0.34,2.8,7.12,3.52,0.023
centroid_vs,30,1,1,0,0,,3.5,0.0612,353.1,20.2,163.7,0.46,13.59,1026.1,9.58,9.64,0.33,2.77,7.08,3.53,0.023
